手牌数,顺子≥5张,顺子≥6张,顺子≥7张,顺子≥8张,顺子≥9张,顺子≥10张,顺子≥11张,顺子≥12张,顺子≥13张,连对≥2连,连对≥3连,连对≥4连,连对≥5连,连对≥6连,连对≥7连,连对≥8连,连对≥9连,连对≥10连,连对≥11连,连对≥12连,连对≥13连,同花顺≥5张,同花顺≥6张,同花顺≥7张,同花顺≥8张,同花顺≥9张,同花顺≥10张,同花顺≥11张,同花顺≥12张,同花顺≥13张,连三张≥1连,连三张≥2连,连三张≥3连,连三张≥4连,连三张≥5连,连三张≥6连,连三张≥7连,连三张≥8连,连三张≥9连,连三张≥10连,连三张≥11连,连三张≥12连,连三张≥13连,飞机2连,飞机3连,飞机4连,飞机5连,炸弹≥4炸,炸弹≥5炸,炸弹≥6炸,炸弹≥7炸,炸弹≥8炸
13,48.23,24.44,12.38,5.80,2.42,0.91,0.29,0.05,0.00,53.06,9.79,1.22,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.18,0.02,0.00,0.00,0.00,0.00,0.00,0.00,62.74,2.33,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,10.33,0.86,0.03,0.00,0.00
14,56.87,31.47,17.38,9.01,4.31,1.85,0.68,0.17,0.03,63.02,14.32,2.19,0.23,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.84,0.26,0.04,0.01,0.00,0.00,0.00,0.00,0.00,71.55,3.81,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.06,0.00,0.00,0.00,13.93,1.21,0.06,0.00,0.00
15,64.75,38.73,22.93,12.91,6.67,3.17,1.32,0.48,0.12,72.30,20.18,3.80,0.50,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.71,0.43,0.06,0.01,0.00,0.00,0.00,0.00,0.00,78.98,5.79,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.00,0.00,0.00,17.96,1.81,0.12,0.00,0.00
16,71.12,45.80,28.92,17.39,9.98,5.30,2.52,0.99,0.30,79.83,26.88,6.07,1.01,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,3.69,0.64,0.12,0.01,0.00,0.00,0.00,0.00,0.00,85.86,8.69,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.36,0.00,0.00,0.00,23.02,2.60,0.15,0.01,0.00
17,77.22,53.15,35.47,22.73,13.73,7.87,4.16,2.01,0.80,86.11,34.53,9.02,1.85,0.32,0.04,0.00,0.00,0.00,0.00,0.00,0.00,4.89,0.92,0.21,0.03,0.00,0.00,0.00,0.00,0.00,90.86,11.80,0.59,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.85,0.07,0.00,0.00,28.18,3.56,0.26,0.01,0.00
18,82.09,59.52,41.55,27.63,17.78,10.92,6.37,3.33,1.46,90.77,42.43,12.83,3.16,0.58,0.07,0.00,0.00,0.00,0.00,0.00,0.00,6.57,1.37,0.29,0.05,0.01,0.00,0.00,0.00,0.00,94.47,15.88,1.06,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.23,0.30,0.00,0.00,34.68,4.77,0.38,0.02,0.00
19,86.26,65.71,48.16,33.50,22.60,14.49,8.88,5.03,2.46,94.18,50.84,17.70,5.01,1.15,0.18,0.02,0.00,0.00,0.00,0.00,0.00,8.24,1.85,0.45,0.09,0.02,0.00,0.00,0.00,0.00,97.06,20.99,1.78,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.52,0.76,0.00,0.00,41.13,6.20,0.51,0.02,0.00
20,89.31,70.88,53.69,38.94,27.38,18.76,12.31,7.62,4.18,96.43,59.03,23.34,7.48,1.98,0.42,0.06,0.00,0.00,0.00,0.00,0.00,10.58,2.49,0.59,0.13,0.03,0.01,0.00,0.00,0.00,98.46,27.00,2.71,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.75,1.64,0.00,0.00,47.90,8.09,0.71,0.02,0.00
21,91.88,75.83,59.40,44.47,32.56,23.00,15.62,10.16,6.16,97.90,66.47,29.80,10.83,3.37,0.84,0.16,0.02,0.00,0.00,0.00,0.00,13.07,3.36,0.92,0.23,0.06,0.01,0.00,0.00,0.00,99.37,33.56,4.05,0.31,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.42,3.07,0.01,0.00,54.70,10.20,0.98,0.04,0.00
22,93.89,80.07,64.41,49.71,37.51,27.71,19.71,13.58,8.70,98.83,73.94,36.59,14.70,5.07,1.51,0.36,0.06,0.01,0.00,0.00,0.00,15.79,4.25,1.18,0.33,0.08,0.03,0.01,0.00,0.00,99.77,40.29,5.78,0.52,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.18,4.92,0.04,0.00,61.30,12.61,1.30,0.09,0.00
